Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
336,Cristiano Biraghi,it ITA,DF,Torino,it Serie A,31,1992,15,13,1158,12.9,0,0,0,0,0,0,0,0,0.5,0.5,2.7,3.1,24,36,49,0,0.24,10,1,10,0.78,0.08,0,0,25.9,3
338,Samuele Birindelli,it ITA,"DF,MF",Monza,it Serie A,25,1999,21,18,1468,16.3,3,0,3,3,0,0,2,0,2.1,2.1,1.4,3.5,40,35,100,0.18,0.22,16,10,62.5,0.98,0.61,0.19,0.3,15.4,0
339,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,19,2005,31,30,2559,28.4,5,2,7,5,0,0,5,0,2.2,2.2,3.6,5.9,47,138,102,0.25,0.21,51,18,35.3,1.79,0.63,0.1,0.28,23.1,5
340,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,27,1996,28,16,1408,15.6,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,75,3,0.13,0.06,11,4,36.4,0.7,0.26,0.18,0.5,23.4,0
341,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,30,1993,27,10,982,10.9,2,1,3,2,0,0,3,0,1.6,1.6,1.6,3.2,19,64,38,0.27,0.29,27,9,33.3,2.47,0.82,0.07,0.22,21.6,1
342,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,19,2005,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.7,0.7,0,0.8,3,16,0,0.07,0.05,4,2,50,0.27,0.13,0.25,0.5,13.7,0
345,Antonio Blanco,es ESP,MF,Alaves,es La Liga,24,2000,35,32,2727,30.3,0,1,1,0,0,0,11,1,0.8,0.8,1.6,2.4,13,146,19,0.03,0.08,25,3,12,0.83,0.1,0,0,27.1,0
346,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,26,1997,29,26,2293,25.5,6,8,14,6,0,0,6,0,5,5,4.6,9.6,83,116,184,0.55,0.38,57,26,45.6,2.24,1.02,0.11,0.23,17.7,2
347,Daley Blind,nl NED,DF,Girona,es La Liga,34,1990,34,31,2780,30.9,0,2,2,0,0,0,2,0,0.5,0.5,1.6,2.1,71,272,61,0.06,0.07,10,4,40,0.32,0.13,0,0,19,0
348,Myron Boadu,nl NED,FW,Bochum,de Bundesliga,23,2001,19,11,1042,11.6,9,1,10,8,1,1,2,0,7.7,6.9,1.1,8,12,18,70,0.78,0.76,27,13,48.1,2.33,1.12,0.3,0.62,11.7,0
349,Augustine Boakye,gh GHA,"FW,MF",Saint-Atienne,fr Ligue 1,23,2000,17,8,733,8.1,3,0,3,3,0,0,5,0,1.8,1.8,0.9,2.7,25,35,60,0.37,0.34,24,9,37.5,2.95,1.11,0.13,0.33,20.8,1
352,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,23,2000,13,6,593,6.6,0,2,2,0,0,0,1,0,0.1,0.1,1.2,1.3,18,39,63,0.3,0.2,3,1,33.3,0.46,0.15,0,0,18.5,0
353,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,27,1997,21,12,1054,11.7,1,2,3,1,0,0,0,0,2.3,2.3,2.8,5.1,64,39,75,0.26,0.44,30,16,53.3,2.56,1.37,0.03,0.06,17,2
354,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,eng Premier League,20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0,0,0.1,0.2,12,14,9,0,0.03,1,1,100,0.19,0.19,0,0,20.2,0
357,Willy Boly,ci CIV,DF,Nottham Forest,eng Premier League,33,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0.04,1,1,100,0.6,0.6,0,0,10.2,0
358,MoA se Bombito,ca CAN,DF,Nice,fr Ligue 1,24,2000,27,25,2192,24.4,0,0,0,0,0,0,3,1,0.7,0.7,0.2,1,27,97,10,0,0.04,8,1,12.5,0.33,0.04,0,0,18.2,0
360,Warren Bondo,fr FRA,MF,Milan,it Serie A,20,2003,4,3,162,1.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,7,0,0,0.06,1,1,100,0.56,0.56,0,0,24.6,0
361,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,23,2000,19,12,1008,11.2,8,1,9,8,0,1,2,0,7.8,7.1,1.1,8.1,26,23,61,0.8,0.8,50,17,34,4.46,1.52,0.16,0.47,14.5,0
